Wishlist ID,Plant ID,Scientific name,Image type,Image URL,Author,License,Source URL,Notes
,SBC-PLANT-0001,Capsicum annuum,user photo,https://github.com/user-attachments/assets/ca15de63-92b6-40da-8fbd-50c55961b7ed,Miguel Silveira,All rights reserved,https://github.com/Driftwoodye/catalog/issues/1,GitHub issue attachment; corrected mapping
,SBC-PLANT-0002,Euphorbia milii,user photo,https://github.com/user-attachments/assets/7f41c7da-4af8-420c-8509-ca2980071805,Miguel Silveira,All rights reserved,https://github.com/Driftwoodye/catalog/issues/1,GitHub issue attachment; corrected mapping
,SBC-PLANT-0003,Rhizophora mangle,user photo,https://github.com/user-attachments/assets/2242ec00-445f-42c0-b843-fc01ad46b2d6,Miguel Silveira,All rights reserved,https://github.com/Driftwoodye/catalog/issues/1,GitHub issue attachment
,,Lophophora williamsii,Wikimedia fallback,https://commons.wikimedia.org/wiki/Special:FilePath/Peyote%20Cactus.jpg?width=900,Unknown,Wikimedia Commons file license,https://commons.wikimedia.org/wiki/File:Peyote_Cactus.jpg,Manual fallback image for Lophophora seed entries
,,Echinopsis pachanoi,Wikimedia fallback,https://commons.wikimedia.org/wiki/Special:FilePath/Starr%20070320-5797%20Echinopsis%20pachanoi.jpg?width=900,Forest & Kim Starr,CC BY 3.0,https://commons.wikimedia.org/wiki/File:Starr_070320-5797_Echinopsis_pachanoi.jpg,Manual fallback image for Echinopsis pachanoi seed entry
